k,silhouette,davies_bouldin,calinski_harabasz,inertia,smallest_cluster_share
2,0.43349997384896305,0.8841087892878081,4603.587493302255,2727.6829223695277,0.39764868603042874
3,0.3347742056600066,1.0497587105368862,3822.853758296226,2034.8730732215954,0.19248501613646843
4,0.3340427002921719,1.013657319660992,3539.31982374488,1630.1090913465382,0.1825726141078838
5,0.31625529245660794,0.9974999559487678,3418.9773200824766,1353.0807398143775,0.10281235592438911
6,0.31495136497257803,1.0040732628083737,3320.9230214166605,1163.6135187757702,0.09497464269248501
7,0.3064085963553011,0.9830220088874733,3185.3395581825416,1038.9580768060528,0.06731212540341171
8,0.28352854977914266,1.0093224846833986,3040.6295419225885,950.6726560750071,0.058091286307053944
9,0.2865405601424904,1.0158034918734178,2948.9773683767717,871.9337623153006,0.056016597510373446
10,0.28775793662786797,1.0022193878532382,2887.938387016183,802.7666342882796,0.05417242969110189
