threshold,coverage,review_rate,selective_accuracy,errors_escalated
0.34,1.0,0.0,0.859375,0.0
0.35306122448979593,1.0,0.0,0.859375,0.0
0.36612244897959184,1.0,0.0,0.859375,0.0
0.37918367346938775,1.0,0.0,0.859375,0.0
0.3922448979591837,1.0,0.0,0.859375,0.0
0.4053061224489796,0.9921875,0.0078125,0.8661417322834646,0.05555555555555555
0.41836734693877553,0.9921875,0.0078125,0.8661417322834646,0.05555555555555555
0.43142857142857144,0.9921875,0.0078125,0.8661417322834646,0.05555555555555555
0.44448979591836735,0.9921875,0.0078125,0.8661417322834646,0.05555555555555555
0.4575510204081633,0.9921875,0.0078125,0.8661417322834646,0.05555555555555555
0.47061224489795916,0.984375,0.015625,0.873015873015873,0.1111111111111111
0.48367346938775513,0.984375,0.015625,0.873015873015873,0.1111111111111111
0.49673469387755104,0.984375,0.015625,0.873015873015873,0.1111111111111111
0.509795918367347,0.984375,0.015625,0.873015873015873,0.1111111111111111
0.5228571428571429,0.9765625,0.0234375,0.872,0.1111111111111111
0.5359183673469388,0.9765625,0.0234375,0.872,0.1111111111111111
0.5489795918367347,0.96875,0.03125,0.8790322580645161,0.16666666666666666
0.5620408163265306,0.96875,0.03125,0.8790322580645161,0.16666666666666666
0.5751020408163265,0.96875,0.03125,0.8790322580645161,0.16666666666666666
0.5881632653061224,0.96875,0.03125,0.8790322580645161,0.16666666666666666
0.6012244897959184,0.96875,0.03125,0.8790322580645161,0.16666666666666666
0.6142857142857143,0.9609375,0.0390625,0.8861788617886179,0.2222222222222222
0.6273469387755102,0.953125,0.046875,0.8852459016393442,0.2222222222222222
0.6404081632653061,0.9453125,0.0546875,0.8842975206611571,0.2222222222222222
0.6534693877551021,0.9296875,0.0703125,0.8907563025210085,0.2777777777777778
0.666530612244898,0.8984375,0.1015625,0.8956521739130435,0.3333333333333333
0.6795918367346938,0.8828125,0.1171875,0.9026548672566371,0.3888888888888889
0.6926530612244898,0.8828125,0.1171875,0.9026548672566371,0.3888888888888889
0.7057142857142857,0.875,0.125,0.9107142857142857,0.4444444444444444
0.7187755102040816,0.8671875,0.1328125,0.918918918918919,0.5
0.7318367346938776,0.8671875,0.1328125,0.918918918918919,0.5
0.7448979591836735,0.8515625,0.1484375,0.9357798165137615,0.6111111111111112
0.7579591836734694,0.84375,0.15625,0.9351851851851852,0.6111111111111112
0.7710204081632652,0.84375,0.15625,0.9351851851851852,0.6111111111111112
0.7840816326530612,0.828125,0.171875,0.9339622641509434,0.6111111111111112
0.7971428571428572,0.828125,0.171875,0.9339622641509434,0.6111111111111112
0.810204081632653,0.8203125,0.1796875,0.9428571428571428,0.6666666666666666
0.823265306122449,0.7890625,0.2109375,0.9504950495049505,0.7222222222222222
0.8363265306122449,0.7578125,0.2421875,0.9484536082474226,0.7222222222222222
0.8493877551020408,0.7421875,0.2578125,0.9578947368421052,0.7777777777777778
0.8624489795918366,0.71875,0.28125,0.9565217391304348,0.7777777777777778
0.8755102040816327,0.7109375,0.2890625,0.9560439560439561,0.7777777777777778
0.8885714285714286,0.6796875,0.3203125,0.9655172413793104,0.8333333333333334
0.9016326530612244,0.65625,0.34375,0.9880952380952381,0.9444444444444444
0.9146938775510203,0.6328125,0.3671875,0.9876543209876543,0.9444444444444444
0.9277551020408163,0.609375,0.390625,0.9871794871794872,0.9444444444444444
0.9408163265306122,0.5703125,0.4296875,0.9863013698630136,0.9444444444444444
0.953877551020408,0.515625,0.484375,1.0,1.0
0.9669387755102041,0.453125,0.546875,1.0,1.0
0.98,0.3515625,0.6484375,1.0,1.0
