corruption,severity,accuracy,macro_f1,threshold,coverage,review_rate,selective_accuracy,errors_escalated
gaussian_noise,0.1,0.875,0.8713294338271759,0.6759136319160461,0.8984375,0.1015625,0.9043478260869565,0.3125
gaussian_noise,0.2,0.8984375,0.8986660929432014,0.6759136319160461,0.796875,0.203125,0.9411764705882353,0.5384615384615384
blur,0.35,0.640625,0.6301483147456854,0.6759136319160461,0.6484375,0.3515625,0.7349397590361446,0.5217391304347826
blur,0.7,0.421875,0.3171417285622588,0.6759136319160461,0.5546875,0.4453125,0.4647887323943662,0.4864864864864865
darkness,0.3,0.890625,0.8902610907715842,0.6759136319160461,0.8359375,0.1640625,0.9532710280373832,0.6428571428571429
darkness,0.6,0.7265625,0.7074458835049585,0.6759136319160461,0.78125,0.21875,0.81,0.45714285714285713
occlusion,0.2,0.859375,0.8581490411621857,0.6759136319160461,0.8828125,0.1171875,0.9026548672566371,0.3888888888888889
occlusion,0.35,0.859375,0.8592156862745098,0.6759136319160461,0.890625,0.109375,0.8859649122807017,0.2777777777777778
