stage,epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,train_samples,valid_loss,valid_accuracy,valid_macro_f1,valid_samples
head,1,0.003,0.8193818950653076,0.6485714285714286,0.6504956839684873,700,0.5127867882068341,0.8461538461538461,0.8402925467233381,130
head,2,0.0015,0.6266835842813764,0.7785714285714286,0.7795044046299746,700,0.48349597362371594,0.8461538461538461,0.8438377165905256,130
fine_tune,1,0.0002,0.5465210717064993,0.8271428571428572,0.8288494744221323,700,0.38611979897205645,0.9,0.8954311747137619,130
fine_tune,2,0.00015000000000000001,0.4026382938453129,0.88,0.8804174104755663,700,0.3948103780929859,0.9076923076923077,0.9043999403086627,130
fine_tune,3,5.000000000000003e-05,0.364601833820343,0.9271428571428572,0.9277360861009232,700,0.38610072915370647,0.9153846153846154,0.912643570536829,130
scratch_cnn,1,0.0008,0.9532242046083723,0.5771428571428572,0.5766019946701123,700,1.0995723119148841,0.46153846153846156,0.43608736942070275,130
scratch_cnn,2,0.000682842712474619,0.8645563057490757,0.6385714285714286,0.6394833900451878,700,0.8038306786463811,0.6692307692307692,0.6563460693895476,130
scratch_cnn,3,0.0004,0.7893537776810783,0.6771428571428572,0.6765530376588332,700,0.6849607288837433,0.7538461538461538,0.7481066240269721,130
scratch_cnn,4,0.00011715728752538102,0.7296087104933603,0.7042857142857143,0.7022394703988435,700,0.6302521613927988,0.7615384615384615,0.7550404195565487,130
