,precision,recall,f1-score,support
angular_leaf_spot,0.8857142857142857,0.7209302325581395,0.7948717948717948,43.0
bean_rust,0.7916666666666666,0.8837209302325582,0.8351648351648352,43.0
healthy,0.9111111111111111,0.9761904761904762,0.9425287356321839,42.0
accuracy,0.859375,0.859375,0.859375,0.859375
macro avg,0.8628306878306877,0.8602805463270579,0.8575217885562713,128.0
weighted avg,0.8624534970238095,0.859375,0.8568576717822407,128.0
