section,dimension,metric,value,secondary_value,sort_order
Region,RS,State GMV,742559.78,7.15,201812
Region,PR,State GMV,676883.06,5.0,201813
Region,SC,State GMV,518578.28,9.76,201814
Region,BA,State GMV,507108.83,14.04,201815
Region,DF,State GMV,300886.45,7.07,201816
Region,GO,State GMV,287870.46,8.18,201817
Region,ES,State GMV,273532.13,12.23,201818
Region,PE,State GMV,261739.94,10.8,201819
Region,CE,State GMV,226264.06,15.32,201820
Region,PA,State GMV,178821.12,12.37,201821
Region,MT,State GMV,156313.53,6.77,201822
Region,MA,State GMV,119291.62,19.67,201823
Region,MS,State GMV,116754.65,11.55,201824
Region,PB,State GMV,114874.1,11.03,201825
Region,PI,State GMV,86660.09,15.97,201826
Region,RN,State GMV,83034.98,10.76,201827
Region,AL,State GMV,80314.81,23.93,201828
Region,SE,State GMV,58920.85,15.22,201829
Region,TO,State GMV,49407.99,12.77,201830
Region,RO,State GMV,46031.64,2.88,201831
Region,AM,State GMV,22356.84,4.14,201832
Region,AC,State GMV,15982.95,3.75,201833
Region,AP,State GMV,13474.3,4.48,201834
Region,RR,State GMV,7739.44,12.2,201835
Payment,credit_card,Payment Value,12349453.71,77.0,201836
Payment,boleto,Payment Value,2826476.09,19.89,201837
Payment,voucher,Payment Value,349874.4,3.81,201838
Payment,debit_card,Payment Value,212417.75,1.54,201839
Seller Risk,monitor,Seller Count,418.0,9024214.130000005,201840
Seller Risk,review_priority,Seller Count,10.0,139011.78,201841
Customer Segment,One Time High Value,GMV Share,52.27,18.46,201842
Customer Segment,One Time,GMV Share,42.17,78.5,201843
Customer Segment,Repeat High Value,GMV Share,5.18,2.31,201844
Customer Segment,Repeat,GMV Share,0.38,0.73,201845
Cohort Retention,Month 0,Weighted Retention %,100.0,20.0,201846
Cohort Retention,Month 1,Weighted Retention %,0.48,19.0,201847
Cohort Retention,Month 2,Weighted Retention %,0.34,18.0,201848
Cohort Retention,Month 3,Weighted Retention %,0.26,17.0,201849
Cohort Retention,Month 4,Weighted Retention %,0.26,16.0,201850
Cohort Retention,Month 5,Weighted Retention %,0.22,15.0,201851
Cohort Retention,Month 6,Weighted Retention %,0.23,14.0,201852
Cohort Retention,Month 7,Weighted Retention %,0.21,13.0,201853
Cohort Retention,Month 8,Weighted Retention %,0.21,12.0,201854
Cohort Retention,Month 9,Weighted Retention %,0.17,10.0,201855
Cohort Retention,Month 10,Weighted Retention %,0.26,10.0,201856
Cohort Retention,Month 11,Weighted Retention %,0.21,9.0,201857
Cohort Retention,Month 12,Weighted Retention %,0.18,8.0,201858
Delay Impact,On time,Average Review,4.28,6.82,201859
Delay Impact,1-3 days late,Average Review,3.28,25.35,201860
Delay Impact,4-7 days late,Average Review,2.09,59.1,201861
Delay Impact,8-14 days late,Average Review,1.67,70.64,201862
Delay Impact,15+ days late,Average Review,2.82,40.13,201863
Operational Priority,SP (state),Late Order GMV,342232.4,5.89,201864
Operational Priority,RJ (state),Late Order GMV,238881.29,13.47,201865
Operational Priority,health_beauty (category),Late Order GMV,112476.28,8.96,201866
Operational Priority,watches_gifts (category),Late Order GMV,104208.59,8.52,201867
Operational Priority,bed_bath_table (category),Late Order GMV,92757.47,8.75,201868
Operational Priority,MG (state),Late Order GMV,91870.72,5.61,201869
Operational Priority,sports_leisure (category),Late Order GMV,85365.79,7.76,201870
Operational Priority,computers_accessories (category),Late Order GMV,73859.49,7.7,201871
Operational Priority,BA (state),Late Order GMV,71874.01,14.04,201872
Operational Priority,auto (category),Late Order GMV,71335.51,8.61,201873
Operational Priority,furniture_decor (category),Late Order GMV,68801.03,8.48,201874
Operational Priority,RS (state),Late Order GMV,53403.81,7.15,201875
Operational Priority,cool_stuff (category),Late Order GMV,50256.7,6.83,201876
Operational Priority,housewares (category),Late Order GMV,46932.07,6.95,201877
Operational Priority,SC (state),Late Order GMV,44460.52,9.76,201878
