seller_id,seller_state,orders,merchandise_value_brl,late_delivery_rate_pct,average_review_score,operational_status
23d7c96d4a1160db1c726b248601b25a,SP,50,10658.24,12.0,3.84,monitor
7e3f87d16fb353f408d467e74fbd8014,SP,92,4754.99,11.96,4.13,monitor
0dd184061fb0eaa7ca37932c68ab91c5,SP,161,18446.92,11.8,4.01,monitor
0d85bbda9889ce1f7e63778d24f346eb,MG,51,4845.2,11.76,4.14,monitor
3db66a856d18a9cba7c9241fc5221c50,MG,94,9478.3,11.7,4.2,monitor
04308b1ee57b6625f47df1d56f00eedf,SC,94,60130.6,11.7,3.88,monitor
cfb1a033743668a192316f3c6d1d2671,SP,146,12753.74,11.64,3.98,monitor
1835b56ce799e6a4dc4eddc053f04066,SP,423,33344.21,11.58,3.62,monitor
34056b8b55c1775a22af2331670a799c,SP,78,6455.4,11.54,4.0,monitor
4869f7a5dfa277a7dca6462dcf3b52b2,SP,1131,229237.63,11.49,4.13,monitor
729f06993dac8e860d4f02d7088ca48a,SP,96,20485.08,11.46,4.14,monitor
897060da8b9a21f655304d50fd935913,SP,316,22723.92,11.39,3.61,monitor
7d76b645482be4a332374e8223836592,SP,176,3843.93,11.36,3.95,monitor
77530e9772f57a62c906e1c21538ab82,PR,319,46470.5,11.29,4.1,monitor
8b28d096634035667e8263d57ba3368c,SP,142,9287.8,11.27,3.96,monitor
c3867b4666c7d76867627c2f7fb22e21,SP,240,36485.5,11.25,3.93,monitor
f84a00e60c73a49e7e851c9bdca3a5bb,RJ,90,5949.94,11.11,3.83,monitor
d9bd94811c3338dceb4181f3dbc0c73e,SP,54,6911.02,11.11,4.8,monitor
a673821011d0cec28146ea42f5ab767f,SP,127,13625.7,11.02,3.92,monitor
ce248b21cb2adc36282ede306b7660e5,SC,64,13560.19,10.94,4.23,monitor
b14db04aa7881970e83ffa9426897925,SP,83,5898.6,10.84,3.65,monitor
972d0f9cf61b499a4812cf0bfa3ad3c4,SC,83,8089.29,10.84,2.98,monitor
aba1721a889e04decc910aa13b768ef4,SP,83,14103.3,10.84,4.45,monitor
4a3ca9315b744ce9f8e9374361493884,SP,1804,200326.12,10.81,3.81,monitor
70a12e78e608ac31179aea7f8422044b,SP,315,30858.53,10.79,3.78,monitor
e9d99831abad74458942f21e16f33f92,SP,130,4922.48,10.77,3.92,monitor
056b4ada5bbc2c50cc7842547dda6b51,RJ,65,12333.39,10.77,4.12,monitor
99eaacc9e6046db1c82b163c5f84869f,SP,65,12880.27,10.77,3.92,monitor
f27e33c6d29b5138fa9967bcd445b6d5,SP,93,8888.3,10.75,4.1,monitor
16090f2ca825584b5a147ab24aa30c86,SP,402,25716.44,10.7,4.05,monitor
e9bc59e7b60fc3063eb2290deda4cced,PR,215,34262.06,10.7,4.0,monitor
