epoch,train_loss,validation_roc_auc,learning_rate
1,1.2500968648676287,0.5722557165877501,0.001
2,1.2259493250595896,0.6389694877223638,0.001
3,1.208561290774429,0.5476825180923353,0.001
4,1.2067243268615322,0.5528495307341486,0.001
5,1.2016398509343464,0.6253489053864841,0.001
6,1.1943414472697074,0.6473552137447969,0.001
7,1.1835999154208,0.6332826160519782,0.001
8,1.192944185775623,0.6123230583265283,0.001
9,1.1731500395557337,0.5632855973125082,0.001
10,1.167329986890157,0.5317188469995584,0.0005
11,1.1586649292393734,0.5781685959366054,0.0005
12,1.1426082995899938,0.5865441178295652,0.0005
13,1.1441815903312282,0.5877421377871876,0.0005
14,1.131958822409312,0.6037649652521813,0.00025
